Tile Size, Batch Size, abalone, airline, airline-ohe, epsilon, higgs, year_prediction_msd
1, 200, 25020573, 3380977, 52998797, 7878980, 3405480, 3646336
4, 200, 17843194, 3200674, 31140718, 6026569, 3481472, 2927053
8, 200, 10792940, 2164148, 25630679, 4935827, 2210817, 2032506
