Tile Size, Batch Size, abalone, airline, airline-ohe, covtype, epsilon, higgs, year_prediction_msd
1, 200, 15970966, 2204167, 35462331, 15113266, 5297261, 2236637, 2545913
4, 200, 15501307, 2860631, 23606712, 16309289, 5516226, 3156424, 2667397
8, 200, 10222029, 2065906, 21557735, 12915032, 5023574, 2105161, 1913397
