Benchmark,Batch size,RAPIDS(Total),TB(4060),TB(AT),Speedup(4060),Speedup(AT),RAPIDS(kernel),TBKernel(4060),TBKernel(AT),Speedup(4060)2,Speedup(AT)2,Tahoe(kernel),Speedup(4060)3,Speedup(AT)
airline-ohe,4096,1.54E-06,1.09E-06,1.09E-06,1.423212035,1.421965419,9.04E-07,5.61E-07,5.65E-07,1.611196262,1.600412888,1.30E-06,2.31E+00,2.30E+00
covtype,4096,1.17E-06,4.04E-07,4.02E-07,2.899983111,2.913824344,1.05E-06,3.57E-07,3.57E-07,2.946845429,2.944829091,1.15E-06,3.22E+00,3.22E+00
epsilon,4096,2.24E-06,1.94E-06,1.89E-06,1.158719663,1.189182927,4.13E-07,3.63E-07,3.22E-07,1.136630546,1.280916234,3.15E-07,8.67E-01,9.77E-01
higgs,4096,2.43E-07,1.17E-07,1.04E-07,2.080170549,2.33840835,2.01E-07,5.69E-08,4.65E-08,3.532126103,4.318785433,1.56E-07,2.74E+00,3.35E+00
letters,4096,2.56E-05,1.63E-05,1.62E-05,1.57099677,1.57453945,2.55E-05,1.62E-05,1.62E-05,1.580708376,1.577382677,3.53E-05,2.19E+00,2.18E+00
year_prediction_msd,4096,3.10E-07,1.41E-07,1.29E-07,2.204858839,2.408925962,2.01E-07,5.18E-08,4.27E-08,3.88774268,4.708687337,3.45E-07,6.67E+00,8.08E+00
abalone,8192,7.05E-07,3.97E-07,4.04E-07,1.78E+00,1.74501003,6.65E-07,3.81E-07,3.85E-07,1.74E+00,1.725104846,5.06E-07,1.33E+00,1.31E+00
airline,8192,1.99E-07,6.36E-08,5.31E-08,3.12E+00,3.742725782,1.77E-07,3.69E-08,3.68E-08,4.79E+00,4.810012236,1.27E-07,3.44E+00,3.45E+00
airline-ohe,8192,1.51E-06,1.13E-06,1.11E-06,1.33E+00,1.36548474,8.96E-07,5.92E-07,5.77E-07,1.51E+00,1.554197942,1.30E-06,2.19E+00,2.25E+00
covtype,8192,1.13E-06,4.16E-07,4.17E-07,2.73E+00,2.716667414,1.04E-06,3.55E-07,3.56E-07,2.93E+00,2.929173368,1.09E-06,3.07E+00,3.07E+00
