Tile Size, Batch Size, abalone, airline, airline-ohe, epsilon, higgs, year_prediction_msd
1, 200, 42216319, 4740833, 66279313, 5543046, 4701329, 4263764
4, 200, 25681884, 3701216, 33448695, 4264533, 3898476, 3048697
8, 200, 16374144, 2507705, 28307476, 3238456, 2590158, 2155254
