Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 200, 13633324, 1323181, 23457871, 2028748, 1595110, 1415131, 1144962
4, 200, 14527080, 754421, 18344086, 1560799, 1839224, 1718078, 1070864
8, 200, 8087111, 685801, 20620924, 1234471, 1439570, 1282683, 810927
