Tile Size, Batch Size, abalone, airline, airline-ohe, epsilon, higgs, year_prediction_msd
1, 200, 24991115, 3090724, 44796981, 3642693, 3089582, 2966091
4, 200, 23780811, 3593843, 26650895, 4346328, 3734139, 2910980
8, 200, 15329066, 2558532, 29478239, 3573671, 2683755, 2166957
