benchmark,cur_batch_size,cmp_benchmark,degradation
year_prediction_msd,256,higgs,0.095308837
letters,256,higgs,0.094881571
year_prediction_msd,512,covtype,0.094767734
year_prediction_msd,8192,higgs,0.094416204
letters,512,higgs,0.093519034
year_prediction_msd,8192,letters,0.092056684
year_prediction_msd,16384,letters,0.090771931
year_prediction_msd,512,letters,0.090613024
airline,8192,abalone,0.08621208
covtype,8192,abalone,0.08621208
letters,8192,abalone,0.08621208
airline,2048,letters,0.084958549
covtype,2048,letters,0.084958549
higgs,2048,letters,0.084958549
letters,512,covtype,0.08340416
airline,16384,year_prediction_msd,0.08162141
abalone,1024,airline,0.080072754
covtype,1024,airline,0.080072754
abalone,4096,year_prediction_msd,0.078744484
year_prediction_msd,512,higgs,0.077092108
airline,8192,higgs,0.076713979
covtype,8192,higgs,0.076713979
letters,8192,higgs,0.076713979
year_prediction_msd,8192,covtype,0.073773872
covtype,16384,abalone,0.07194455
letters,16384,abalone,0.07194455
higgs,16384,airline,0.07112774
airline,512,year_prediction_msd,0.0662119
higgs,512,year_prediction_msd,0.0662119
airline-ohe,1024,abalone,0.065544119
abalone,4096,airline,0.064203646
covtype,4096,airline,0.064203646
letters,4096,airline,0.064203646
covtype,16384,year_prediction_msd,0.063397577
letters,16384,year_prediction_msd,0.063397577
year_prediction_msd,256,letters,0.060145215
higgs,256,covtype,0.057931878
abalone,1024,higgs,0.055430166
covtype,1024,higgs,0.055430166
year_prediction_msd,2048,abalone,0.054370036
abalone,16384,covtype,0.052087841
abalone,2048,year_prediction_msd,0.051227556
covtype,16384,airline,0.046795776
letters,16384,airline,0.046795776
higgs,256,airline-ohe,0.044403493
airline,2048,year_prediction_msd,0.039872978
covtype,2048,year_prediction_msd,0.039872978
higgs,2048,year_prediction_msd,0.039872978
abalone,512,airline,0.035957595
airline-ohe,512,airline,0.035957595
covtype,512,airline,0.035957595
airline,8192,year_prediction_msd,0.033906451
covtype,8192,year_prediction_msd,0.033906451
letters,8192,year_prediction_msd,0.033906451
covtype,16384,higgs,0.033325414
letters,16384,higgs,0.033325414
abalone,512,higgs,0.022895971
airline-ohe,512,higgs,0.022895971
covtype,512,higgs,0.022895971
year_prediction_msd,8192,abalone,0.022546264
airline,2048,abalone,0.021933224
covtype,2048,abalone,0.021933224
higgs,2048,abalone,0.021933224
higgs,256,airline,0.021628303
higgs,256,abalone,0.021242056
abalone,8192,year_prediction_msd,0.020745887
abalone,4096,higgs,0.016778175
letters,256,year_prediction_msd,0.010321039
abalone,256,airline,0.005043817
airline-ohe,256,airline,0.005043817
covtype,256,airline,0.005043817
letters,512,year_prediction_msd,0.004280842
year_prediction_msd,16384,abalone,0.003512298
abalone,4096,covtype,0.003377074
airline,4096,higgs,0.00316633
year_prediction_msd,4096,higgs,0.00316633
abalone,256,higgs,0.001038585
airline-ohe,256,higgs,0.001038585
covtype,256,higgs,0.001038585
airline,256,higgs,0.00073183
epsilon,256,higgs,0.00073183
abalone,256,abalone,0
abalone,256,airline-ohe,0
abalone,256,covtype,0
airline,256,airline,0
airline,256,epsilon,0
airline-ohe,256,abalone,0
airline-ohe,256,airline-ohe,0
airline-ohe,256,covtype,0
covtype,256,abalone,0
covtype,256,airline-ohe,0
covtype,256,covtype,0
epsilon,256,airline,0
epsilon,256,epsilon,0
higgs,256,higgs,0
year_prediction_msd,256,year_prediction_msd,0
letters,256,letters,0
abalone,512,abalone,0
abalone,512,airline-ohe,0
abalone,512,covtype,0
airline,512,airline,0
airline,512,higgs,0
airline-ohe,512,abalone,0
airline-ohe,512,airline-ohe,0
airline-ohe,512,covtype,0
covtype,512,abalone,0
covtype,512,airline-ohe,0
covtype,512,covtype,0
epsilon,512,epsilon,0
higgs,512,airline,0
higgs,512,higgs,0
year_prediction_msd,512,year_prediction_msd,0
letters,512,letters,0
abalone,1024,abalone,0
abalone,1024,covtype,0
airline,1024,airline,0
airline,1024,higgs,0
airline,1024,year_prediction_msd,0
airline-ohe,1024,airline-ohe,0
covtype,1024,abalone,0
covtype,1024,covtype,0
epsilon,1024,epsilon,0
higgs,1024,airline,0
higgs,1024,higgs,0
higgs,1024,year_prediction_msd,0
year_prediction_msd,1024,airline,0
year_prediction_msd,1024,higgs,0
year_prediction_msd,1024,year_prediction_msd,0
letters,1024,letters,0
abalone,2048,abalone,0
airline,2048,airline,0
airline,2048,covtype,0
airline,2048,higgs,0
airline-ohe,2048,airline-ohe,0
covtype,2048,airline,0
covtype,2048,covtype,0
covtype,2048,higgs,0
epsilon,2048,epsilon,0
higgs,2048,airline,0
higgs,2048,covtype,0
higgs,2048,higgs,0
year_prediction_msd,2048,year_prediction_msd,0
letters,2048,letters,0
abalone,4096,abalone,0
airline,4096,airline,0
airline,4096,year_prediction_msd,0
airline-ohe,4096,airline-ohe,0
covtype,4096,covtype,0
covtype,4096,letters,0
epsilon,4096,epsilon,0
higgs,4096,higgs,0
year_prediction_msd,4096,airline,0
year_prediction_msd,4096,year_prediction_msd,0
letters,4096,covtype,0
letters,4096,letters,0
abalone,8192,abalone,0
airline,8192,airline,0
airline,8192,covtype,0
airline,8192,letters,0
airline-ohe,8192,airline-ohe,0
covtype,8192,airline,0
covtype,8192,covtype,0
covtype,8192,letters,0
epsilon,8192,epsilon,0
higgs,8192,higgs,0
year_prediction_msd,8192,year_prediction_msd,0
letters,8192,airline,0
letters,8192,covtype,0
letters,8192,letters,0
abalone,16384,abalone,0
airline,16384,airline,0
airline-ohe,16384,airline-ohe,0
covtype,16384,covtype,0
covtype,16384,letters,0
epsilon,16384,epsilon,0
higgs,16384,higgs,0
year_prediction_msd,16384,year_prediction_msd,0
letters,16384,covtype,0
letters,16384,letters,0
