benchmark,cur_batch_size,cmp_batch_size,degradation
year_prediction_msd,2048,4096,0.136585108
year_prediction_msd,8192,4096,0.136585108
year_prediction_msd,16384,4096,0.136585108
abalone,1024,16384,0.130654986
epsilon,1024,8192,0.129952882
abalone,4096,1024,0.123167952
abalone,16384,1024,0.123167952
higgs,1024,256,0.118357107
higgs,4096,1024,0.117050402
year_prediction_msd,1024,16384,0.115247295
letters,256,8192,0.112719194
letters,512,8192,0.112719194
letters,1024,8192,0.112719194
letters,2048,8192,0.112719194
epsilon,256,4096,0.10660594
abalone,1024,4096,0.105236123
airline,2048,1024,0.102801329
airline,8192,1024,0.102801329
higgs,2048,4096,0.098765624
epsilon,256,8192,0.094208069
airline,256,512,0.090236301
epsilon,16384,512,0.088851338
letters,4096,2048,0.084958549
letters,8192,2048,0.084958549
letters,16384,2048,0.084958549
higgs,512,4096,0.08325424
epsilon,1024,16384,0.082545331
year_prediction_msd,4096,16384,0.08162141
airline-ohe,2048,1024,0.080408185
airline-ohe,4096,1024,0.080408185
airline-ohe,16384,1024,0.080408185
airline,1024,256,0.080391483
airline,4096,8192,0.080258144
airline,16384,8192,0.080258144
year_prediction_msd,1024,4096,0.078744484
higgs,2048,8192,0.076713979
year_prediction_msd,4096,8192,0.071158776
epsilon,16384,4096,0.070904345
abalone,256,1024,0.065544119
abalone,512,1024,0.065544119
airline,1024,4096,0.064203646
airline,2048,4096,0.064203646
airline,8192,4096,0.064203646
higgs,2048,1024,0.062601832
epsilon,256,16384,0.061241716
airline-ohe,8192,4096,0.058941304
epsilon,256,512,0.057314223
covtype,1024,512,0.05712969
airline,1024,512,0.055236343
airline-ohe,8192,2048,0.051024416
airline-ohe,256,4096,0.04981295
airline-ohe,512,4096,0.04981295
airline-ohe,1024,4096,0.04981295
higgs,512,256,0.049764456
abalone,4096,8192,0.048013204
abalone,16384,8192,0.048013204
airline,2048,16384,0.046795776
airline,8192,16384,0.046795776
epsilon,1024,256,0.045071955
epsilon,512,16384,0.045044428
epsilon,8192,16384,0.045044428
higgs,1024,512,0.043463403
year_prediction_msd,1024,256,0.039193766
epsilon,2048,1024,0.037877492
epsilon,4096,1024,0.037877492
epsilon,512,1024,0.036871634
epsilon,8192,1024,0.036871634
higgs,512,1024,0.036192206
higgs,2048,16384,0.033325414
abalone,2048,16384,0.030114297
abalone,8192,16384,0.030114297
airline,512,1024,0.029373854
higgs,256,512,0.028844473
epsilon,256,1024,0.028659583
