config,model,representation,batch_size,unroll,total,kernel
oneTree-512-2,epsilon_xgb_model_save.json,gpu_array,4096,false,2.39421,1.57212
oneTree-512-2,higgs_xgb_model_save.json,gpu_array,4096,false,0.199197,0.176729
oneTree-512-2,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.592917,0.549595
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-2,abalone_xgb_model_save.json,gpu_sparse,4096,false,0.844312,0.834272
oneTree-512-2,airline_xgb_model_save.json,gpu_sparse,4096,false,0.133513,0.117969
oneTree-512-2,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,11.857,11.5587
oneTree-512-2,covtype_xgb_model_save.json,gpu_sparse,4096,false,3.43684,3.40098
oneTree-512-2,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.39378,1.5702
oneTree-512-2,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.197742,0.176687
oneTree-512-2,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.591926,0.548745
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-2,abalone_xgb_model_save.json,gpu_reorg,4096,false,1.07135,1.0611
oneTree-512-2,airline_xgb_model_save.json,gpu_reorg,4096,false,0.188667,0.170889
oneTree-512-2,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,12.79,12.4917
oneTree-512-2,covtype_xgb_model_save.json,gpu_reorg,4096,false,4.34411,4.30905
oneTree-512-2,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.53576,1.71142
oneTree-512-2,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.354812,0.33394
oneTree-512-2,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.680994,0.638416
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-4,abalone_xgb_model_save.json,gpu_array,4096,false,1.43741,1.42656
oneTree-512-4,airline_xgb_model_save.json,gpu_array,4096,false,0.213738,0.195825
oneTree-512-4,airline-ohe_xgb_model_save.json,gpu_array,4096,false,17.1336,16.8353
oneTree-512-4,covtype_xgb_model_save.json,gpu_array,4096,false,4.00172,3.96812
oneTree-512-4,epsilon_xgb_model_save.json,gpu_array,4096,false,2.64955,1.82614
oneTree-512-4,higgs_xgb_model_save.json,gpu_array,4096,false,0.260557,0.239648
oneTree-512-4,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.765713,0.722471
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-4,abalone_xgb_model_save.json,gpu_sparse,4096,false,1.46379,1.45353
oneTree-512-4,airline_xgb_model_save.json,gpu_sparse,4096,false,0.206743,0.190232
oneTree-512-4,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,17.132,16.8317
oneTree-512-4,covtype_xgb_model_save.json,gpu_sparse,4096,false,3.96337,3.92683
oneTree-512-4,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.64917,1.82584
oneTree-512-4,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.265007,0.244102
oneTree-512-4,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.762246,0.719575
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-4,abalone_xgb_model_save.json,gpu_reorg,4096,false,1.82343,1.81375
oneTree-512-4,airline_xgb_model_save.json,gpu_reorg,4096,false,0.275657,0.259004
oneTree-512-4,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,18.4023,18.103
oneTree-512-4,covtype_xgb_model_save.json,gpu_reorg,4096,false,5.37662,5.33791
oneTree-512-4,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.89449,2.06869
oneTree-512-4,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.435034,0.412292
oneTree-512-4,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.909011,0.865769
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-16,abalone_xgb_model_save.json,gpu_array,4096,false,3.16323,3.15303
oneTree-512-16,airline_xgb_model_save.json,gpu_array,4096,false,0.533167,0.516667
oneTree-512-16,airline-ohe_xgb_model_save.json,gpu_array,4096,false,21.3703,21.0724
oneTree-512-16,covtype_xgb_model_save.json,gpu_array,4096,false,9.33214,9.29667
oneTree-512-16,epsilon_xgb_model_save.json,gpu_array,4096,false,3.194,2.36885
oneTree-512-16,higgs_xgb_model_save.json,gpu_array,4096,false,0.662917,0.64189
oneTree-512-16,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,1.44123,1.39794
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-16,abalone_xgb_model_save.json,gpu_sparse,4096,false,3.04296,3.03337
oneTree-512-16,airline_xgb_model_save.json,gpu_sparse,4096,false,0.512241,0.494487
oneTree-512-16,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,21.262,20.9624
oneTree-512-16,covtype_xgb_model_save.json,gpu_sparse,4096,false,9.16595,9.12726
oneTree-512-16,epsilon_xgb_model_save.json,gpu_sparse,4096,false,3.18501,2.36147
oneTree-512-16,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.64811,0.626152
oneTree-512-16,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,1.43287,1.38946
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-16,abalone_xgb_model_save.json,gpu_reorg,4096,false,4.08761,4.07739
oneTree-512-16,airline_xgb_model_save.json,gpu_reorg,4096,false,0.888816,0.872319
oneTree-512-16,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,24.0367,23.7367
oneTree-512-16,covtype_xgb_model_save.json,gpu_reorg,4096,false,11.9952,11.9566
oneTree-512-16,epsilon_xgb_model_save.json,gpu_reorg,4096,false,3.70333,2.87808
oneTree-512-16,higgs_xgb_model_save.json,gpu_reorg,4096,false,1.33396,1.31289
oneTree-512-16,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,1.72513,1.68169
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-1,abalone_xgb_model_save.json,gpu_array,4096,false,0.613127,0.60303
oneTree-1024-1,airline_xgb_model_save.json,gpu_array,4096,false,0.106089,0.0894409
oneTree-1024-1,airline-ohe_xgb_model_save.json,gpu_array,4096,false,12.2834,11.9861
oneTree-1024-1,covtype_xgb_model_save.json,gpu_array,4096,false,3.40545,3.3698
oneTree-1024-1,epsilon_xgb_model_save.json,gpu_array,4096,false,2.37591,1.55434
oneTree-1024-1,higgs_xgb_model_save.json,gpu_array,4096,false,0.161592,0.140562
oneTree-1024-1,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.534702,0.492192
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-1,abalone_xgb_model_save.json,gpu_sparse,4096,false,0.651914,0.642419
oneTree-1024-1,airline_xgb_model_save.json,gpu_sparse,4096,false,0.111436,0.0970703
oneTree-1024-1,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,12.2896,11.9915
oneTree-1024-1,covtype_xgb_model_save.json,gpu_sparse,4096,false,3.4119,3.37786
oneTree-1024-1,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.3785,1.55575
oneTree-1024-1,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.168376,0.146138
oneTree-1024-1,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.533552,0.490303
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-1,abalone_xgb_model_save.json,gpu_reorg,4096,false,0.757964,0.747864
oneTree-1024-1,airline_xgb_model_save.json,gpu_reorg,4096,false,0.164104,0.149719
oneTree-1024-1,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,12.9633,12.6643
oneTree-1024-1,covtype_xgb_model_save.json,gpu_reorg,4096,false,4.3881,4.35386
oneTree-1024-1,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.47961,1.65473
oneTree-1024-1,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.304802,0.282297
oneTree-1024-1,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.61946,0.576277
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-2,abalone_xgb_model_save.json,gpu_array,4096,false,0.969392,0.959282
oneTree-1024-2,airline_xgb_model_save.json,gpu_array,4096,false,0.146235,0.13114
oneTree-1024-2,airline-ohe_xgb_model_save.json,gpu_array,4096,false,12.0567,11.7573
oneTree-1024-2,covtype_xgb_model_save.json,gpu_array,4096,false,3.80969,3.77698
oneTree-1024-2,epsilon_xgb_model_save.json,gpu_array,4096,false,2.39911,1.57624
oneTree-1024-2,higgs_xgb_model_save.json,gpu_array,4096,false,0.212644,0.191692
oneTree-1024-2,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.633213,0.589961
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-2,abalone_xgb_model_save.json,gpu_sparse,4096,false,1.02416,1.01459
oneTree-1024-2,airline_xgb_model_save.json,gpu_sparse,4096,false,0.148628,0.134094
oneTree-1024-2,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,12.0511,11.752
oneTree-1024-2,covtype_xgb_model_save.json,gpu_sparse,4096,false,3.78555,3.7516
oneTree-1024-2,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.39388,1.57181
oneTree-1024-2,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.225515,0.202935
oneTree-1024-2,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.630566,0.587371
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-2,abalone_xgb_model_save.json,gpu_reorg,4096,false,1.17395,1.16392
oneTree-1024-2,airline_xgb_model_save.json,gpu_reorg,4096,false,0.204075,0.188831
oneTree-1024-2,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,12.7195,12.4211
oneTree-1024-2,covtype_xgb_model_save.json,gpu_reorg,4096,false,4.48555,4.4464
oneTree-1024-2,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.51423,1.68983
oneTree-1024-2,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.369077,0.346714
oneTree-1024-2,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.699265,0.655962
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-4,abalone_xgb_model_save.json,gpu_array,4096,false,1.70966,1.69965
oneTree-1024-4,airline_xgb_model_save.json,gpu_array,4096,false,0.221182,0.206934
oneTree-1024-4,airline-ohe_xgb_model_save.json,gpu_array,4096,false,17.3328,17.0349
oneTree-1024-4,covtype_xgb_model_save.json,gpu_array,4096,false,4.17333,4.14022
oneTree-1024-4,epsilon_xgb_model_save.json,gpu_array,4096,false,2.64802,1.82472
oneTree-1024-4,higgs_xgb_model_save.json,gpu_array,4096,false,0.281294,0.259353
oneTree-1024-4,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.786685,0.74355
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-4,abalone_xgb_model_save.json,gpu_sparse,4096,false,1.74769,1.73757
oneTree-1024-4,airline_xgb_model_save.json,gpu_sparse,4096,false,0.222258,0.207314
oneTree-1024-4,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,17.3046,17.0055
oneTree-1024-4,covtype_xgb_model_save.json,gpu_sparse,4096,false,4.14811,4.11195
oneTree-1024-4,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.6471,1.82514
oneTree-1024-4,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.279119,0.257424
oneTree-1024-4,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.783879,0.741199
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-4,abalone_xgb_model_save.json,gpu_reorg,4096,false,1.99624,1.98617
oneTree-1024-4,airline_xgb_model_save.json,gpu_reorg,4096,false,0.281648,0.267402
oneTree-1024-4,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,18.3658,18.0665
oneTree-1024-4,covtype_xgb_model_save.json,gpu_reorg,4096,false,5.12466,5.09066
oneTree-1024-4,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.95345,2.12833
oneTree-1024-4,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.471045,0.450122
oneTree-1024-4,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.935193,0.8928
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-16,abalone_xgb_model_save.json,gpu_array,4096,false,3.13881,3.12901
oneTree-1024-16,airline_xgb_model_save.json,gpu_array,4096,false,0.55269,0.537673
oneTree-1024-16,airline-ohe_xgb_model_save.json,gpu_array,4096,false,21.2301,20.9304
oneTree-1024-16,covtype_xgb_model_save.json,gpu_array,4096,false,9.39848,9.36242
oneTree-1024-16,epsilon_xgb_model_save.json,gpu_array,4096,false,3.17688,2.3541
oneTree-1024-16,higgs_xgb_model_save.json,gpu_array,4096,false,0.691863,0.670039
oneTree-1024-16,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,1.46154,1.41887
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-16,abalone_xgb_model_save.json,gpu_sparse,4096,false,3.03591,3.02581
oneTree-1024-16,airline_xgb_model_save.json,gpu_sparse,4096,false,0.537412,0.522092
oneTree-1024-16,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,21.1477,20.8503
oneTree-1024-16,covtype_xgb_model_save.json,gpu_sparse,4096,false,9.31077,9.27655
oneTree-1024-16,epsilon_xgb_model_save.json,gpu_sparse,4096,false,3.16916,2.34711
oneTree-1024-16,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.679182,0.65395
oneTree-1024-16,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,1.45442,1.41118
config,model,representation,batch_size,unroll,total,kernel
oneTree-1024-16,abalone_xgb_model_save.json,gpu_reorg,4096,false,4.1035,4.09385
oneTree-1024-16,airline_xgb_model_save.json,gpu_reorg,4096,false,0.89165,0.876465
oneTree-1024-16,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,23.9417,23.6426
oneTree-1024-16,covtype_xgb_model_save.json,gpu_reorg,4096,false,11.4329,11.3968
oneTree-1024-16,epsilon_xgb_model_save.json,gpu_reorg,4096,false,3.81406,2.98802
oneTree-1024-16,higgs_xgb_model_save.json,gpu_reorg,4096,false,1.40024,1.37916
oneTree-1024-16,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,1.77237,1.72906
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-1,abalone_xgb_model_save.json,gpu_array,8192,false,0.588944,0.581787
oneTree-64-1,airline_xgb_model_save.json,gpu_array,8192,false,0.0931628,0.0806067
oneTree-64-1,airline-ohe_xgb_model_save.json,gpu_array,8192,false,12.7056,12.4177
oneTree-64-1,covtype_xgb_model_save.json,gpu_array,8192,false,4.21068,4.18089
oneTree-64-1,epsilon_xgb_model_save.json,gpu_array,8192,false,2.39693,1.58023
oneTree-64-1,higgs_xgb_model_save.json,gpu_array,8192,false,0.350088,0.331157
oneTree-64-1,year_prediction_msd_xgb_model_save.json,gpu_array,8192,false,0.597751,0.550536
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-1,abalone_xgb_model_save.json,gpu_sparse,8192,false,0.586685,0.57967
oneTree-64-1,airline_xgb_model_save.json,gpu_sparse,8192,false,0.095542,0.0837146
oneTree-64-1,airline-ohe_xgb_model_save.json,gpu_sparse,8192,false,12.7309,12.4442
oneTree-64-1,covtype_xgb_model_save.json,gpu_sparse,8192,false,4.15554,4.12687
oneTree-64-1,epsilon_xgb_model_save.json,gpu_sparse,8192,false,2.40403,1.58637
oneTree-64-1,higgs_xgb_model_save.json,gpu_sparse,8192,false,0.348333,0.329302
oneTree-64-1,year_prediction_msd_xgb_model_save.json,gpu_sparse,8192,false,0.595322,0.547231
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-1,abalone_xgb_model_save.json,gpu_reorg,8192,false,0.611018,0.603879
oneTree-64-1,airline_xgb_model_save.json,gpu_reorg,8192,false,0.150289,0.13845
oneTree-64-1,airline-ohe_xgb_model_save.json,gpu_reorg,8192,false,13.3835,13.0954
oneTree-64-1,covtype_xgb_model_save.json,gpu_reorg,8192,false,5.14007,5.09974
oneTree-64-1,epsilon_xgb_model_save.json,gpu_reorg,8192,false,2.50879,1.69187
oneTree-64-1,higgs_xgb_model_save.json,gpu_reorg,8192,false,0.543909,0.525524
oneTree-64-1,year_prediction_msd_xgb_model_save.json,gpu_reorg,8192,false,0.713335,0.666165
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-2,abalone_xgb_model_save.json,gpu_array,8192,false,0.874193,0.867186
oneTree-64-2,airline_xgb_model_save.json,gpu_array,8192,false,0.138818,0.127048
oneTree-64-2,airline-ohe_xgb_model_save.json,gpu_array,8192,false,12.1283,11.8411
oneTree-64-2,covtype_xgb_model_save.json,gpu_array,8192,false,3.86211,3.83144
oneTree-64-2,epsilon_xgb_model_save.json,gpu_array,8192,false,2.42407,1.60623
oneTree-64-2,higgs_xgb_model_save.json,gpu_array,8192,false,0.316598,0.298098
oneTree-64-2,year_prediction_msd_xgb_model_save.json,gpu_array,8192,false,0.689154,0.641871
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-2,abalone_xgb_model_save.json,gpu_sparse,8192,false,0.904041,0.896306
oneTree-64-2,airline_xgb_model_save.json,gpu_sparse,8192,false,0.140846,0.128483
oneTree-64-2,airline-ohe_xgb_model_save.json,gpu_sparse,8192,false,12.1198,11.8327
oneTree-64-2,covtype_xgb_model_save.json,gpu_sparse,8192,false,3.80479,3.77522
oneTree-64-2,epsilon_xgb_model_save.json,gpu_sparse,8192,false,2.42188,1.60422
oneTree-64-2,higgs_xgb_model_save.json,gpu_sparse,8192,false,0.31476,0.29573
oneTree-64-2,year_prediction_msd_xgb_model_save.json,gpu_sparse,8192,false,0.688262,0.640187
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-2,abalone_xgb_model_save.json,gpu_reorg,8192,false,0.922419,0.915261
oneTree-64-2,airline_xgb_model_save.json,gpu_reorg,8192,false,0.189945,0.178113
oneTree-64-2,airline-ohe_xgb_model_save.json,gpu_reorg,8192,false,12.8593,12.5716
oneTree-64-2,covtype_xgb_model_save.json,gpu_reorg,8192,false,4.69422,4.65296
oneTree-64-2,epsilon_xgb_model_save.json,gpu_reorg,8192,false,2.51699,1.69978
oneTree-64-2,higgs_xgb_model_save.json,gpu_reorg,8192,false,0.381267,0.362347
oneTree-64-2,year_prediction_msd_xgb_model_save.json,gpu_reorg,8192,false,0.756064,0.708739
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-4,abalone_xgb_model_save.json,gpu_array,8192,false,1.472,1.46486
oneTree-64-4,airline_xgb_model_save.json,gpu_array,8192,false,0.189604,0.17729
oneTree-64-4,airline-ohe_xgb_model_save.json,gpu_array,8192,false,17.1393,16.8513
oneTree-64-4,covtype_xgb_model_save.json,gpu_array,8192,false,5.02055,4.99005
oneTree-64-4,epsilon_xgb_model_save.json,gpu_array,8192,false,2.65148,1.83365
oneTree-64-4,higgs_xgb_model_save.json,gpu_array,8192,false,0.347653,0.329296
oneTree-64-4,year_prediction_msd_xgb_model_save.json,gpu_array,8192,false,0.85587,0.807742
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-4,abalone_xgb_model_save.json,gpu_sparse,8192,false,1.56712,1.56004
oneTree-64-4,airline_xgb_model_save.json,gpu_sparse,8192,false,0.19682,0.18453
oneTree-64-4,airline-ohe_xgb_model_save.json,gpu_sparse,8192,false,17.1325,16.8454
oneTree-64-4,covtype_xgb_model_save.json,gpu_sparse,8192,false,4.99244,4.96307
oneTree-64-4,epsilon_xgb_model_save.json,gpu_sparse,8192,false,2.64915,1.832
oneTree-64-4,higgs_xgb_model_save.json,gpu_sparse,8192,false,0.348895,0.329965
oneTree-64-4,year_prediction_msd_xgb_model_save.json,gpu_sparse,8192,false,0.853843,0.805961
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-4,abalone_xgb_model_save.json,gpu_reorg,8192,false,1.65058,1.64342
oneTree-64-4,airline_xgb_model_save.json,gpu_reorg,8192,false,0.296722,0.284995
oneTree-64-4,airline-ohe_xgb_model_save.json,gpu_reorg,8192,false,18.1268,17.8389
oneTree-64-4,covtype_xgb_model_save.json,gpu_reorg,8192,false,5.98751,5.94518
oneTree-64-4,epsilon_xgb_model_save.json,gpu_reorg,8192,false,2.85736,2.04123
oneTree-64-4,higgs_xgb_model_save.json,gpu_reorg,8192,false,0.471396,0.45306
oneTree-64-4,year_prediction_msd_xgb_model_save.json,gpu_reorg,8192,false,0.973615,0.926396
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-16,abalone_xgb_model_save.json,gpu_array,8192,false,2.88323,2.87608
oneTree-64-16,airline_xgb_model_save.json,gpu_array,8192,false,0.428195,0.416412
oneTree-64-16,airline-ohe_xgb_model_save.json,gpu_array,8192,false,20.8541,20.5668
oneTree-64-16,covtype_xgb_model_save.json,gpu_array,8192,false,8.19094,8.15942
oneTree-64-16,epsilon_xgb_model_save.json,gpu_array,8192,false,3.04724,2.23064
oneTree-64-16,higgs_xgb_model_save.json,gpu_array,8192,false,0.738682,0.720309
oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_array,8192,false,1.29709,1.24881
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-16,abalone_xgb_model_save.json,gpu_sparse,8192,false,2.93537,2.92772
oneTree-64-16,airline_xgb_model_save.json,gpu_sparse,8192,false,0.417124,0.405317
oneTree-64-16,airline-ohe_xgb_model_save.json,gpu_sparse,8192,false,20.7726,20.485
oneTree-64-16,covtype_xgb_model_save.json,gpu_sparse,8192,false,8.04619,8.01681
oneTree-64-16,epsilon_xgb_model_save.json,gpu_sparse,8192,false,3.0642,2.24759
oneTree-64-16,higgs_xgb_model_save.json,gpu_sparse,8192,false,0.719357,0.700417
oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_sparse,8192,false,1.29036,1.24312
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-16,abalone_xgb_model_save.json,gpu_reorg,8192,false,3.86114,3.85396
oneTree-64-16,airline_xgb_model_save.json,gpu_reorg,8192,false,0.740167,0.728339
oneTree-64-16,airline-ohe_xgb_model_save.json,gpu_reorg,8192,false,22.1492,21.8617
oneTree-64-16,covtype_xgb_model_save.json,gpu_reorg,8192,false,11.193,11.1542
oneTree-64-16,epsilon_xgb_model_save.json,gpu_reorg,8192,false,3.52549,2.70865
oneTree-64-16,higgs_xgb_model_save.json,gpu_reorg,8192,false,1.04736,1.02902
oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_reorg,8192,false,1.57303,1.52482
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_array,8192,false,0.598287,0.590682
oneTree-256-1,airline_xgb_model_save.json,gpu_array,8192,false,0.0938037,0.0819189
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_array,8192,false,12.6725,12.385
oneTree-256-1,covtype_xgb_model_save.json,gpu_array,8192,false,4.18076,4.15145
oneTree-256-1,epsilon_xgb_model_save.json,gpu_array,8192,false,2.39495,1.57849
oneTree-256-1,higgs_xgb_model_save.json,gpu_array,8192,false,0.353669,0.335428
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_array,8192,false,0.574304,0.527185
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_sparse,8192,false,0.600507,0.592853
oneTree-256-1,airline_xgb_model_save.json,gpu_sparse,8192,false,0.0952283,0.082926
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_sparse,8192,false,12.6766,12.3888
oneTree-256-1,covtype_xgb_model_save.json,gpu_sparse,8192,false,4.0966,4.06776
oneTree-256-1,epsilon_xgb_model_save.json,gpu_sparse,8192,false,2.40049,1.58337
oneTree-256-1,higgs_xgb_model_save.json,gpu_sparse,8192,false,0.354885,0.336588
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_sparse,8192,false,0.572849,0.524749
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_reorg,8192,false,0.610853,0.603712
oneTree-256-1,airline_xgb_model_save.json,gpu_reorg,8192,false,0.148966,0.136563
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_reorg,8192,false,13.3588,13.0704
oneTree-256-1,covtype_xgb_model_save.json,gpu_reorg,8192,false,5.06318,5.02298
oneTree-256-1,epsilon_xgb_model_save.json,gpu_reorg,8192,false,2.50393,1.68695
oneTree-256-1,higgs_xgb_model_save.json,gpu_reorg,8192,false,0.534038,0.515164
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_reorg,8192,false,0.694508,0.647246
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_array,8192,false,0.746486,0.738801
oneTree-256-2,airline_xgb_model_save.json,gpu_array,8192,false,0.121185,0.108856
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_array,8192,false,12.4048,12.1165
oneTree-256-2,covtype_xgb_model_save.json,gpu_array,8192,false,4.63416,4.60544
oneTree-256-2,epsilon_xgb_model_save.json,gpu_array,8192,false,2.41617,1.5985
oneTree-256-2,higgs_xgb_model_save.json,gpu_array,8192,false,0.407645,0.388586
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_array,8192,false,0.833647,0.786301
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_sparse,8192,false,0.782792,0.7752
oneTree-256-2,airline_xgb_model_save.json,gpu_sparse,8192,false,0.132155,0.119646
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_sparse,8192,false,12.433,12.1455
oneTree-256-2,covtype_xgb_model_save.json,gpu_sparse,8192,false,4.67916,4.64841
oneTree-256-2,epsilon_xgb_model_save.json,gpu_sparse,8192,false,2.41887,1.60196
oneTree-256-2,higgs_xgb_model_save.json,gpu_sparse,8192,false,0.404562,0.385699
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_sparse,8192,false,0.838351,0.791091
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_reorg,8192,false,0.90572,0.897928
oneTree-256-2,airline_xgb_model_save.json,gpu_reorg,8192,false,0.203455,0.191072
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_reorg,8192,false,13.2671,12.9794
oneTree-256-2,covtype_xgb_model_save.json,gpu_reorg,8192,false,6.42318,6.38183
oneTree-256-2,epsilon_xgb_model_save.json,gpu_reorg,8192,false,2.54602,1.7294
oneTree-256-2,higgs_xgb_model_save.json,gpu_reorg,8192,false,0.517246,0.498793
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_reorg,8192,false,0.952018,0.904559
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-4,abalone_xgb_model_save.json,gpu_array,8192,false,1.23599,1.22896
oneTree-256-4,airline_xgb_model_save.json,gpu_array,8192,false,0.150481,0.13816
oneTree-256-4,airline-ohe_xgb_model_save.json,gpu_array,8192,false,16.9425,16.6543
oneTree-256-4,covtype_xgb_model_save.json,gpu_array,8192,false,4.77651,4.7478
oneTree-256-4,epsilon_xgb_model_save.json,gpu_array,8192,false,2.61713,1.79928
oneTree-256-4,higgs_xgb_model_save.json,gpu_array,8192,false,0.349598,0.330745
oneTree-256-4,year_prediction_msd_xgb_model_save.json,gpu_array,8192,false,0.858508,0.811343
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-4,abalone_xgb_model_save.json,gpu_sparse,8192,false,1.26501,1.25788
oneTree-256-4,airline_xgb_model_save.json,gpu_sparse,8192,false,0.154167,0.142434
oneTree-256-4,airline-ohe_xgb_model_save.json,gpu_sparse,8192,false,16.9297,16.6419
oneTree-256-4,covtype_xgb_model_save.json,gpu_sparse,8192,false,4.76494,4.73348
