config,model,representation,batch_size,unroll,total,kernel
oneTree-64-16,airline_xgb_model_save.json,gpu_array,1024,false,1.45003,1.43863
oneTree-64-16,airline-ohe_xgb_model_save.json,gpu_array,1024,false,47.7641,47.8716
oneTree-64-16,covtype_xgb_model_save.json,gpu_array,1024,false,12.1853,12.2546
oneTree-64-16,epsilon_xgb_model_save.json,gpu_array,1024,false,6.11978,5.31662
oneTree-64-16,higgs_xgb_model_save.json,gpu_array,1024,false,1.48521,1.46405
oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_array,1024,false,1.97743,1.93655
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-16,abalone_xgb_model_save.json,gpu_sparse,1024,false,9.84425,9.91852
oneTree-64-16,airline_xgb_model_save.json,gpu_sparse,1024,false,1.39825,1.38549
oneTree-64-16,airline-ohe_xgb_model_save.json,gpu_sparse,1024,false,47.331,47.4284
oneTree-64-16,covtype_xgb_model_save.json,gpu_sparse,1024,false,12.6296,12.7015
oneTree-64-16,epsilon_xgb_model_save.json,gpu_sparse,1024,false,6.08129,5.26446
oneTree-64-16,higgs_xgb_model_save.json,gpu_sparse,1024,false,1.41901,1.3975
oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_sparse,1024,false,1.92204,1.88012
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-16,abalone_xgb_model_save.json,gpu_reorg,1024,false,10.2757,10.3559
oneTree-64-16,airline_xgb_model_save.json,gpu_reorg,1024,false,2.13712,2.13182
oneTree-64-16,airline-ohe_xgb_model_save.json,gpu_reorg,1024,false,51.3023,51.3993
oneTree-64-16,covtype_xgb_model_save.json,gpu_reorg,1024,false,15.8166,15.9132
oneTree-64-16,epsilon_xgb_model_save.json,gpu_reorg,1024,false,7.31813,6.52667
oneTree-64-16,higgs_xgb_model_save.json,gpu_reorg,1024,false,2.41631,2.40575
oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_reorg,1024,false,2.82058,2.78603
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_array,1024,false,1.98127,1.97883
oneTree-256-1,airline_xgb_model_save.json,gpu_array,1024,false,0.210117,0.186494
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_array,1024,false,11.7405,11.4642
oneTree-256-1,covtype_xgb_model_save.json,gpu_array,1024,false,2.44375,2.41468
oneTree-256-1,epsilon_xgb_model_save.json,gpu_array,1024,false,2.4391,1.59993
oneTree-256-1,higgs_xgb_model_save.json,gpu_array,1024,false,0.266514,0.232363
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_array,1024,false,0.378936,0.321719
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_sparse,1024,false,1.98023,1.97774
oneTree-256-1,airline_xgb_model_save.json,gpu_sparse,1024,false,0.212959,0.189795
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_sparse,1024,false,11.7051,11.4545
oneTree-256-1,covtype_xgb_model_save.json,gpu_sparse,1024,false,2.4302,2.40191
oneTree-256-1,epsilon_xgb_model_save.json,gpu_sparse,1024,false,2.43327,1.59926
oneTree-256-1,higgs_xgb_model_save.json,gpu_sparse,1024,false,0.267568,0.235186
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_sparse,1024,false,0.375937,0.318887
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_reorg,1024,false,1.2368,1.22727
oneTree-256-1,airline_xgb_model_save.json,gpu_reorg,1024,false,0.274873,0.251084
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_reorg,1024,false,12.4249,12.1823
oneTree-256-1,covtype_xgb_model_save.json,gpu_reorg,1024,false,2.31621,2.28481
oneTree-256-1,epsilon_xgb_model_save.json,gpu_reorg,1024,false,2.69695,1.86024
oneTree-256-1,higgs_xgb_model_save.json,gpu_reorg,1024,false,0.298057,0.266348
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_reorg,1024,false,0.415977,0.359297
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_array,1024,false,2.68104,2.68216
oneTree-256-2,airline_xgb_model_save.json,gpu_array,1024,false,0.304707,0.281074
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_array,1024,false,13.5558,13.3253
oneTree-256-2,covtype_xgb_model_save.json,gpu_array,1024,false,3.60474,3.58821
oneTree-256-2,epsilon_xgb_model_save.json,gpu_array,1024,false,2.68303,1.85212
oneTree-256-2,higgs_xgb_model_save.json,gpu_array,1024,false,0.363408,0.331426
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_array,1024,false,0.540645,0.478213
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_sparse,1024,false,2.65247,2.6569
oneTree-256-2,airline_xgb_model_save.json,gpu_sparse,1024,false,0.300625,0.277197
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_sparse,1024,false,13.5258,13.2945
oneTree-256-2,covtype_xgb_model_save.json,gpu_sparse,1024,false,3.53725,3.51769
oneTree-256-2,epsilon_xgb_model_save.json,gpu_sparse,1024,false,2.68569,1.84965
oneTree-256-2,higgs_xgb_model_save.json,gpu_sparse,1024,false,0.360635,0.328496
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_sparse,1024,false,0.533301,0.471436
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_reorg,1024,false,2.08934,2.08846
oneTree-256-2,airline_xgb_model_save.json,gpu_reorg,1024,false,0.470967,0.449443
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_reorg,1024,false,15.5291,15.3152
oneTree-256-2,covtype_xgb_model_save.json,gpu_reorg,1024,false,3.94185,3.92747
oneTree-256-2,epsilon_xgb_model_save.json,gpu_reorg,1024,false,3.10554,2.27572
oneTree-256-2,higgs_xgb_model_save.json,gpu_reorg,1024,false,0.522988,0.493418
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_reorg,1024,false,0.65334,0.598193
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-4,abalone_xgb_model_save.json,gpu_array,1024,false,4.13997,4.15928
oneTree-256-4,airline_xgb_model_save.json,gpu_array,1024,false,0.508867,0.488271
oneTree-256-4,airline-ohe_xgb_model_save.json,gpu_array,1024,false,22.3391,22.1875
oneTree-256-4,covtype_xgb_model_save.json,gpu_array,1024,false,5.58093,5.58401
oneTree-256-4,epsilon_xgb_model_save.json,gpu_array,1024,false,3.30912,2.48229
oneTree-256-4,higgs_xgb_model_save.json,gpu_array,1024,false,0.567549,0.538379
oneTree-256-4,year_prediction_msd_xgb_model_save.json,gpu_array,1024,false,0.800674,0.746738
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-4,abalone_xgb_model_save.json,gpu_sparse,1024,false,4.02555,4.04274
oneTree-256-4,airline_xgb_model_save.json,gpu_sparse,1024,false,0.495937,0.474922
oneTree-256-4,airline-ohe_xgb_model_save.json,gpu_sparse,1024,false,22.2457,22.1002
oneTree-256-4,covtype_xgb_model_save.json,gpu_sparse,1024,false,5.39847,5.39166
oneTree-256-4,epsilon_xgb_model_save.json,gpu_sparse,1024,false,3.30274,2.4725
oneTree-256-4,higgs_xgb_model_save.json,gpu_sparse,1024,false,0.552764,0.523223
oneTree-256-4,year_prediction_msd_xgb_model_save.json,gpu_sparse,1024,false,0.78791,0.733643
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-4,abalone_xgb_model_save.json,gpu_reorg,1024,false,3.91976,3.93638
oneTree-256-4,airline_xgb_model_save.json,gpu_reorg,1024,false,0.857568,0.840469
oneTree-256-4,airline-ohe_xgb_model_save.json,gpu_reorg,1024,false,25.1711,25.0479
oneTree-256-4,covtype_xgb_model_save.json,gpu_reorg,1024,false,6.84346,6.85761
oneTree-256-4,epsilon_xgb_model_save.json,gpu_reorg,1024,false,3.78579,2.96304
oneTree-256-4,higgs_xgb_model_save.json,gpu_reorg,1024,false,0.933359,0.907451
oneTree-256-4,year_prediction_msd_xgb_model_save.json,gpu_reorg,1024,false,1.08513,1.03433
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-16,abalone_xgb_model_save.json,gpu_array,1024,false,11.608,11.7015
oneTree-256-16,airline_xgb_model_save.json,gpu_array,1024,false,1.61203,1.60258
oneTree-256-16,airline-ohe_xgb_model_save.json,gpu_array,1024,false,54.6507,54.8236
oneTree-256-16,covtype_xgb_model_save.json,gpu_array,1024,false,17.3318,17.4488
oneTree-256-16,epsilon_xgb_model_save.json,gpu_array,1024,false,6.89638,6.10212
oneTree-256-16,higgs_xgb_model_save.json,gpu_array,1024,false,1.69111,1.67261
oneTree-256-16,year_prediction_msd_xgb_model_save.json,gpu_array,1024,false,2.37159,2.33426
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-16,abalone_xgb_model_save.json,gpu_sparse,1024,false,11.0793,11.1669
oneTree-256-16,airline_xgb_model_save.json,gpu_sparse,1024,false,1.55082,1.54039
oneTree-256-16,airline-ohe_xgb_model_save.json,gpu_sparse,1024,false,54.0366,54.1994





oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,1.29652,1.25332
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-16,abalone_xgb_model_save.json,gpu_sparse,4096,false,2.94958,2.93979
oneTree-64-16,airline_xgb_model_save.json,gpu_sparse,4096,false,0.450352,0.435278
oneTree-64-16,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,20.3554,20.0578
oneTree-64-16,covtype_xgb_model_save.json,gpu_sparse,4096,false,8.2386,8.20303
oneTree-64-16,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.92832,2.10405
oneTree-64-16,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.527424,0.506455
oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,1.28896,1.24579
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-16,abalone_xgb_model_save.json,gpu_reorg,4096,false,3.96794,3.95787
oneTree-64-16,airline_xgb_model_save.json,gpu_reorg,4096,false,0.714172,0.699788
oneTree-64-16,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,22.5933,22.2953
oneTree-64-16,covtype_xgb_model_save.json,gpu_reorg,4096,false,11.7753,11.7403
oneTree-64-16,epsilon_xgb_model_save.json,gpu_reorg,4096,false,3.37221,2.54716
oneTree-64-16,higgs_xgb_model_save.json,gpu_reorg,4096,false,1.22836,1.20558
oneTree-64-16,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,1.56698,1.52429
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_array,4096,false,0.604092,0.594573
oneTree-256-1,airline_xgb_model_save.json,gpu_array,4096,false,0.0996533,0.0852661
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_array,4096,false,12.0589,11.7614
oneTree-256-1,covtype_xgb_model_save.json,gpu_array,4096,false,3.02635,2.99204
oneTree-256-1,epsilon_xgb_model_save.json,gpu_array,4096,false,2.36933,1.54683
oneTree-256-1,higgs_xgb_model_save.json,gpu_array,4096,false,0.130056,0.108933
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.504924,0.462324
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_sparse,4096,false,0.60301,0.593486
oneTree-256-1,airline_xgb_model_save.json,gpu_sparse,4096,false,0.102637,0.0869971
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,12.0578,11.7602
oneTree-256-1,covtype_xgb_model_save.json,gpu_sparse,4096,false,3.02936,2.9911
oneTree-256-1,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.3729,1.5501
oneTree-256-1,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.147263,0.124563
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.505212,0.461968
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-1,abalone_xgb_model_save.json,gpu_reorg,4096,false,0.622871,0.613252
oneTree-256-1,airline_xgb_model_save.json,gpu_reorg,4096,false,0.1221,0.106987
oneTree-256-1,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,13.2157,12.9174
oneTree-256-1,covtype_xgb_model_save.json,gpu_reorg,4096,false,3.946,3.91047
oneTree-256-1,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.49204,1.66637
oneTree-256-1,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.23844,0.21572
oneTree-256-1,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.581694,0.53865
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_array,4096,false,0.84,0.829841
oneTree-256-2,airline_xgb_model_save.json,gpu_array,4096,false,0.122332,0.106685
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_array,4096,false,11.7524,11.4551
oneTree-256-2,covtype_xgb_model_save.json,gpu_array,4096,false,3.41047,3.37168
oneTree-256-2,epsilon_xgb_model_save.json,gpu_array,4096,false,2.38576,1.56117
oneTree-256-2,higgs_xgb_model_save.json,gpu_array,4096,false,0.176506,0.154299
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.583098,0.539883
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_sparse,4096,false,0.853076,0.843003
oneTree-256-2,airline_xgb_model_save.json,gpu_sparse,4096,false,0.126135,0.110408
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,11.7358,11.4384
oneTree-256-2,covtype_xgb_model_save.json,gpu_sparse,4096,false,3.39834,3.36249
oneTree-256-2,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.3834,1.56122
oneTree-256-2,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.181279,0.160334
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.582007,0.539055
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-2,abalone_xgb_model_save.json,gpu_reorg,4096,false,0.96092,0.95083
oneTree-256-2,airline_xgb_model_save.json,gpu_reorg,4096,false,0.161428,0.146101
oneTree-256-2,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,12.653,12.354
oneTree-256-2,covtype_xgb_model_save.json,gpu_reorg,4096,false,4.09633,4.06046
oneTree-256-2,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.51155,1.6868
oneTree-256-2,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.329741,0.308665
oneTree-256-2,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.655776,0.613398
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-4,abalone_xgb_model_save.json,gpu_array,4096,false,1.3409,1.33135
oneTree-256-4,airline_xgb_model_save.json,gpu_array,4096,false,0.173059,0.157332
oneTree-256-4,airline-ohe_xgb_model_save.json,gpu_array,4096,false,16.7928,16.4948
oneTree-256-4,covtype_xgb_model_save.json,gpu_array,4096,false,3.9943,3.95493
oneTree-256-4,epsilon_xgb_model_save.json,gpu_array,4096,false,2.63657,1.8143
oneTree-256-4,higgs_xgb_model_save.json,gpu_array,4096,false,0.236763,0.215789
oneTree-256-4,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.751392,0.708923
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-4,abalone_xgb_model_save.json,gpu_sparse,4096,false,1.39824,1.38806
oneTree-256-4,airline_xgb_model_save.json,gpu_sparse,4096,false,0.16417,0.149993
oneTree-256-4,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,16.8586,16.5598
oneTree-256-4,covtype_xgb_model_save.json,gpu_sparse,4096,false,3.9731,3.93832
oneTree-256-4,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.63396,1.80977
oneTree-256-4,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.24137,0.218806
oneTree-256-4,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.755879,0.712607
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-4,abalone_xgb_model_save.json,gpu_reorg,4096,false,1.71479,1.70472
oneTree-256-4,airline_xgb_model_save.json,gpu_reorg,4096,false,0.266301,0.25189
oneTree-256-4,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,18.2307,17.9315
oneTree-256-4,covtype_xgb_model_save.json,gpu_reorg,4096,false,4.98949,4.95071
oneTree-256-4,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.91596,2.09152
oneTree-256-4,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.441218,0.418774
oneTree-256-4,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.918943,0.87636
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-16,abalone_xgb_model_save.json,gpu_array,4096,false,2.9115,2.90186
oneTree-256-16,airline_xgb_model_save.json,gpu_array,4096,false,0.446528,0.430818
oneTree-256-16,airline-ohe_xgb_model_save.json,gpu_array,4096,false,20.1107,19.8126
oneTree-256-16,covtype_xgb_model_save.json,gpu_array,4096,false,8.51451,8.47526
oneTree-256-16,epsilon_xgb_model_save.json,gpu_array,4096,false,3.08659,2.26448
oneTree-256-16,higgs_xgb_model_save.json,gpu_array,4096,false,0.601855,0.579673
oneTree-256-16,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,1.35836,1.31496
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-16,abalone_xgb_model_save.json,gpu_sparse,4096,false,2.79859,2.789
oneTree-256-16,airline_xgb_model_save.json,gpu_sparse,4096,false,0.431726,0.416016
oneTree-256-16,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,20.0649,19.7668
oneTree-256-16,covtype_xgb_model_save.json,gpu_sparse,4096,false,8.39983,8.36561
oneTree-256-16,epsilon_xgb_model_save.json,gpu_sparse,4096,false,3.07933,2.25597
oneTree-256-16,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.589258,0.568125
oneTree-256-16,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,1.34519,1.30179
config,model,representation,batch_size,unroll,total,kernel
oneTree-256-16,abalone_xgb_model_save.json,gpu_reorg,4096,false,3.89976,3.88944
oneTree-256-16,airline_xgb_model_save.json,gpu_reorg,4096,false,0.794595,0.780237
oneTree-256-16,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,23.4317,23.1309
