Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 109925, 36966, 150763, 41366, 44141, 37521, 36605
2, 1, 171639, 38005, 193635, 43767, 54871, 48664, 41377
3, 1, 111529, 37802, 166982, 40482, 45654, 39649, 36693
4, 1, 123583, 35910, 150956, 39024, 46288, 40954, 38432
1, 2, 89332, 21594, 128882, 26485, 29553, 23094, 20920
2, 2, 150285, 21921, 171903, 28818, 40126, 33184, 25890
3, 2, 90425, 22541, 145779, 25689, 29670, 24357, 21261
4, 2, 102981, 20409, 127453, 24630, 31469, 25923, 22497
1, 4, 78299, 14117, 117645, 18645, 21612, 15354, 13016
2, 4, 139210, 14252, 160494, 21369, 33314, 25262, 17876
3, 4, 78415, 14797, 133376, 18151, 21354, 16515, 13667
4, 4, 91554, 12926, 116231, 17441, 23546, 18520, 14445
