Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 93574, 35973, 130771, 38347, 40116, 35614, 35135
2, 1, 166935, 37915, 185026, 42121, 52164, 47660, 41100
3, 1, 115923, 39128, 167589, 40647, 43081, 41008, 38230
4, 1, 119177, 35309, 147267, 39000, 42936, 40681, 37183
1, 2, 73704, 20150, 109576, 23908, 24570, 21553, 19936
2, 2, 144959, 21611, 164205, 27734, 36758, 32223, 25447
3, 2, 95051, 23743, 144766, 25781, 28398, 25430, 22689
4, 2, 99061, 20192, 124884, 23488, 28400, 25490, 22147
1, 4, 63167, 12702, 98773, 16552, 17358, 13578, 12077
2, 4, 133932, 14213, 153201, 19844, 29095, 24748, 17612
3, 4, 84113, 15856, 133522, 17936, 19922, 17437, 14613
4, 4, 87436, 12535, 112912, 16167, 20443, 18027, 14329
