Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 200, 9666955, 971884, 17489530, 2001377, 2175199, 1013980, 954819
4, 200, 9822849, 655868, 14271012, 1581108, 2194011, 1475723, 955997
8, 200, 4822290, 584589, 13471342, 1184573, 1933658, 980743, 698023
