Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 200, 20606020, 1973386, 32633650, 2223200, 2478710, 2141443, 1712253
4, 200, 14835361, 919271, 25552777, 1866341, 1897197, 1806183, 1179038
8, 200, 8222856, 743141, 21018748, 1496152, 1405837, 1238622, 832592
