Tile Size, Batch Size, abalone, airline, airline-ohe, covtype, epsilon, higgs, year_prediction_msd
1, 200, 15966248, 2209903, 36234441, 15116187, 5226242, 2239626, 2545694
4, 200, 15516829, 2861230, 23889432, 16318361, 5497468, 3155852, 2663561
8, 200, 10215356, 2063954, 21776434, 12781358, 5031524, 2104862, 1912138
