Tile Size, Batch Size, abalone, airline, airline-ohe, epsilon, higgs, year_prediction_msd
1, 200, 30104610, 3532337, 51170817, 4250726, 3566467, 3033027
4, 200, 21561485, 2750836, 27831107, 3478246, 2946975, 2328959
8, 200, 14604947, 2239670, 30079262, 3018893, 2262541, 1866492
