Tile Size, Batch Size, abalone, airline, airline-ohe, epsilon, higgs, year_prediction_msd
1, 200, 16587390, 2506248, 39084395, 5795275, 2504722, 2686961
4, 200, 13404382, 2315909, 24654674, 4860779, 2476469, 2203673
8, 200, 9344686, 1798721, 24864755, 4355676, 1802998, 1653396
