Tile Size, Batch Size, abalone, airline, airline-ohe, covtype, epsilon, higgs, year_prediction_msd
1, 200, 24307328, 3120407, 44206099, 21493745, 3628983, 3105206, 2995113
4, 200, 24342216, 3550514, 26601596, 21624839, 4328193, 3732697, 2929597
8, 200, 15645734, 2538177, 29402595, 18539530, 3542763, 2671297, 2193075
