Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 86227, 36686, 125798, 40262, 41446, 37769, 35392
2, 1, 161256, 37004, 181444, 42959, 51628, 47668, 40343
3, 1, 146049, 42713, 212573, 43766, 51692, 45439, 40883
4, 1, 130767, 37812, 170453, 41380, 50116, 44554, 39866
1, 2, 68520, 20811, 107599, 24992, 26036, 22038, 19730
2, 2, 143090, 21603, 160112, 27498, 36268, 32119, 24885
3, 2, 126366, 27162, 188264, 28078, 35686, 29998, 25590
4, 2, 111381, 21792, 146020, 25116, 34629, 29208, 23708
1, 4, 59082, 14044, 100331, 17469, 18311, 14338, 11908
2, 4, 129220, 13695, 149004, 19732, 28794, 24675, 17038
3, 4, 115775, 19560, 177444, 20129, 27705, 22541, 17469
4, 4, 98759, 14128, 134358, 16921, 26618, 21312, 15869
