Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 86354, 36297, 125914, 39475, 40781, 36849, 34802
2, 1, 159941, 47480, 181132, 42362, 51018, 47507, 39866
3, 1, 145660, 43310, 211372, 43505, 50725, 44916, 40423
4, 1, 129322, 37446, 170644, 40135, 48997, 44814, 38490
1, 2, 67903, 20505, 106986, 24219, 25514, 21830, 19632
2, 2, 142688, 21488, 160605, 27288, 36324, 31891, 26270
3, 2, 126212, 27179, 188464, 27969, 35161, 29907, 24689
4, 2, 111239, 21716, 145855, 24863, 34236, 28998, 23848
1, 4, 58807, 12966, 96313, 16755, 17719, 14074, 12006
2, 4, 132640, 13770, 149331, 19871, 28598, 24771, 17334
3, 4, 116799, 19350, 178654, 20527, 27735, 22427, 17174
4, 4, 100337, 14052, 134393, 17064, 26656, 21329, 15875
