Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 110113, 37749, 150595, 41056, 45091, 38497, 35323
2, 1, 155172, 36228, 172250, 42404, 52125, 46414, 39948
3, 1, 115730, 38571, 175278, 41087, 45761, 39826, 37456
4, 1, 107720, 34650, 129996, 38824, 43482, 38704, 35953
1, 2, 88960, 21644, 129704, 26593, 29720, 23352, 20604
2, 2, 134389, 20700, 151598, 27429, 37566, 31021, 23586
3, 2, 93822, 23327, 152907, 26123, 30082, 24448, 21675
4, 2, 87445, 18642, 108451, 23722, 28719, 23927, 20432
1, 4, 78363, 14296, 118221, 18903, 21660, 15441, 12780
2, 4, 122929, 12979, 140151, 20009, 29889, 23168, 16262
3, 4, 82333, 15283, 141621, 18684, 22586, 16836, 14074
4, 4, 76345, 11351, 104318, 16208, 20888, 16437, 12752
