Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 93598, 37901, 130302, 39669, 41418, 37503, 35209
2, 1, 166026, 38180, 181760, 43199, 51837, 48745, 41200
3, 1, 123030, 39958, 176530, 40652, 43496, 40935, 38007
4, 1, 104846, 33936, 126738, 37767, 41219, 39167, 36125
1, 2, 73849, 20819, 110113, 24840, 25626, 22030, 19884
2, 2, 144510, 21797, 160911, 27474, 36269, 32797, 26032
3, 2, 102161, 24520, 154866, 25981, 28905, 25778, 22929
4, 2, 84648, 18851, 105160, 22683, 26050, 23763, 20625
1, 4, 63178, 13037, 99207, 16684, 17544, 14061, 12092
2, 4, 133245, 14090, 150862, 19945, 28969, 25472, 18377
3, 4, 91066, 16641, 143338, 18609, 21213, 18031, 15126
4, 4, 73924, 11099, 93835, 15049, 18109, 16270, 12811
