Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 106162, 38967, 160379, 43024, 46447, 40172, 36665
2, 1, 159583, 38004, 180884, 43545, 53381, 46942, 40031
3, 1, 151411, 42540, 222839, 45202, 56016, 45921, 40492
4, 1, 140728, 38586, 175558, 42600, 55174, 46660, 39856
1, 2, 85908, 22813, 137403, 27422, 31338, 24370, 20980
2, 2, 138655, 21442, 158684, 27806, 37858, 31332, 24151
3, 2, 129475, 26199, 196797, 29664, 40204, 29674, 24658
4, 2, 120474, 22454, 154307, 27043, 40287, 30011, 24258
1, 4, 74256, 15213, 131018, 19648, 23960, 16690, 13029
2, 4, 126746, 13370, 146647, 20187, 30196, 23868, 16198
3, 4, 118386, 18449, 184268, 22142, 32730, 22147, 16771
4, 4, 109516, 14760, 144129, 18862, 32039, 22407, 16386
